Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
ECOM,ChannelAdvisor Corporation,NYQ,EQUITY,Application Software,USD,Share,11.91,8.22,24.41,296.05M,186987
MRIN,Marin Software Incorporated,NYQ,EQUITY,Application Software,USD,Share,6.62,5.36,10.24,227.93M,192310
KEYW,The KEYW Holding Corporation,NMS,EQUITY,Application Software,USD,Share,9.15,6.78,14.41,357.34M,540710
SMSI,Smith Micro Software Inc.,NMS,EQUITY,Application Software,USD,Share,1.17,0.74,1.85,52.31M,216762
XNET,Xunlei Limited,NMS,EQUITY,Application Software,USD,Share,11.31,5.93,14.34,657.25M,608019
EAHC,Explore Anywhere Holding Corp.,PNK,EQUITY,Application Software,,Share,0,,,,
VCSY,Vertical Computer Systems Inc.,PNK,EQUITY,Application Software,USD,Share,0.0272,0.0095,0.0510,29.40M,324225
EPAZ,Epazz Inc.,PNK,EQUITY,Application Software,USD,Share,0.0001,0.0000,2.0000,2393.60,38641700
INTU,Intuit Inc.,NMS,EQUITY,Application Software,USD,Share,104.26,77.96,109.21,29.17B,1400610
DAEG,Daegis Inc.,NCM,EQUITY,Application Software,USD,Share,0.6686,0.5200,1.3800,10.32M,8200
ARIS,ARI Network Services Inc.,NCM,EQUITY,Application Software,USD,Share,3.14,2.41,4.45,53.43M,19719
JNGW,Jingwei International Limited,PNK,EQUITY,Application Software,USD,Share,0.11,0.11,0.40,2.13M,79
ADBE,Adobe Systems Inc.,NMS,EQUITY,Application Software,USD,Share,80.35,58.51,84.36,40.75B,2620570
PAR,PAR Technology Corporation,NYQ,EQUITY,Application Software,USD,Share,4.49,3.71,6.30,74.23M,26705
XCLL,XcelMobility Inc.,PNK,EQUITY,Application Software,USD,Share,0.0103,0.0080,0.0600,2.13M,957606
FIG,Fortress Investment Group LLC,NYQ,EQUITY,Asset Management,USD,Share,7.58,5.58,8.65,1.56B,668148
JAN.DU,JAPAN ASIA INVT,DUS,EQUITY,Asset Management,EUR,Share,0.467,0.379,0.644,,
IHJ.MU,VZ HOLDING N,MUN,EQUITY,Asset Management,EUR,Share,207.55,122.84,231.80,,23
BK,The Bank of New York Mellon Corporation,NYQ,EQUITY,Asset Management,USD,Share,42.84,35.06,44.10,47.70B,5812990
MCGC,MCG Capital Corporation,NMS,EQUITY,Asset Management,USD,Share,4.64,3.00,4.76,166.83M,337759
XYM.TO,Star Portfolio Corp.,TOR,EQUITY,Asset Management,CAD,Share,11.94,11.35,13.45,,1170
WILLAMAGO.NS,Williamson Magor & Co. Limited,NSI,EQUITY,Asset Management,,Share,,,,,
WHG,Westwood Holdings Group Inc.,NYQ,EQUITY,Asset Management,USD,Share,58.69,51.30,68.10,483.86M,15416
XEK.MU,FORTRESS INVEST-A,MUN,EQUITY,Asset Management,EUR,Share,6.77,4.76,7.88,,515
AWN.AX,Arowana International Limited,ASX,EQUITY,Asset Management,AUD,Share,0.71,0.68,1.05,108.02M,24668
VLR-H.V,Valor Ventures Inc.,VAN,EQUITY,Asset Management,CAD,Share,0.00,0.03,0.50,6.27M,
ZOF.MU,SBI HOLDINGS,MUN,EQUITY,Asset Management,EUR,Share,12.83,7.53,13.27,,2
KRD.F,KARDAN NV,FRA,EQUITY,Asset Management,EUR,Share,0.260,0.129,0.356,,44
AHA.AX,AG Financial Ltd,ASX,EQUITY,Asset Management,AUD,Share,0.01,0.01,0.06,2.55M,375797
BRW.L,Brewin Dolphin Holdings plc,LSE,EQUITY,Asset Management,GBp,Share,306.4220,236.8000,361.0000,852.11M,217368
CG,The Carlyle Group LP,NMS,EQUITY,Asset Management,USD,Share,28.81,24.42,35.99,1.96B,807241
WCM-B.TO,Wilmington Capital Management Inc.,TOR,EQUITY,Asset Management,CAD,Share,0.00,3.40,4.99,34.09M,
AQU.AX,Aquaint Capital Holdings Limited,ASX,EQUITY,Asset Management,AUD,Share,0.25,0.10,0.49,19.25M,3558
GAE.V,Greenangel Energy Corp.,VAN,EQUITY,Asset Management,CAD,Share,0.05,0.05,0.08,860650.00,3316
