Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
NZDKES=X,NZD/KES,CCY,Currency,Foreign Exchange,KES,KES,68.1584,65.7852,77.3630,,
CNH=X,USD/CNH,CCY,Currency,Foreign Exchange,,,6.2127,6.1120,6.3021,,
RONUAH=X,RON/UAH,CCY,Currency,Foreign Exchange,UAH,UAH,5.4681,3.5340,8.6748,,
BHD=X,USD/BHD,CCY,Currency,Foreign Exchange,BHD,BHD,0.3770,0.3736,0.3814,,
TNDISK=X,TND/ISK,CCY,Currency,Foreign Exchange,ISK,ISK,68.1911,66.2133,71.7111,,
EUR-MMK.F,EUR/MMK,FRA,Currency,Foreign Exchange,MMK,MMK,1315.5226,1315.5226,1349.2858,,
CHFBZD=X,CHF/BZD,CCY,Currency,Foreign Exchange,BZD,BZD,2.1195,1.9482,2.7824,,
THBHUF=X,THB/HUF,CCY,Currency,Foreign Exchange,HUF,HUF,8.2760,6.9942,8.8876,,
QARUSD=X,QAR/USD,CCY,Currency,Foreign Exchange,USD,USD,0.2746,0.2696,0.2792,,
BRLDKK=X,BRL/DKK,CCY,Currency,Foreign Exchange,DKK,DKK,2.1595,2.0642,2.5993,,
EUR-MYR.F,EUR/MYR,FRA,Currency,Foreign Exchange,MYR,MYR,4.3819,4.3819,4.5292,,
CADCZK=X,CAD/CZK,CCY,Currency,Foreign Exchange,CZK,CZK,19.2773,18.7397,21.1042,,
LVLGBP=X,LVL/GBP,CCY,Currency,Foreign Exchange,GBP,GBP,1.0158,0.9986,1.2595,,
ILSMUR=X,ILS/MUR,CCY,Currency,Foreign Exchange,MUR,MUR,9.3891,7.8871,9.4746,,
HU20.EX,STURM USA 20BN 10,EUX,Currency,Foreign Exchange,USD,USD,0.0500,,,,
ARSBOB=X,ARS/BOB,CCY,Currency,Foreign Exchange,BOB,BOB,0.7556,0.7456,0.8482,,
JPYVND=X,JPY/VND,CCY,Currency,Foreign Exchange,VND,VND,176.5492,173.3145,209.6343,,
ISKINR=X,ISK/INR,CCY,Currency,Foreign Exchange,INR,INR,0.4736,0.4448,0.5351,,
LTLRUB=X,LTL/RUB,CCY,Currency,Foreign Exchange,RUB,RUB,17.5811,13.4658,28.6552,,
CADKZT=X,CAD/KZT,CCY,Currency,Foreign Exchange,KZT,KZT,146.6781,144.1264,171.5206,,
CNYSGD=X,CNY/SGD,CCY,Currency,Foreign Exchange,SGD,SGD,0.2195,0.1995,0.2247,,
JPYUGX=X,JPY/UGX,CCY,Currency,Foreign Exchange,UGX,UGX,26.9155,22.6555,29.7283,,
RON=X,USD/RON,CCY,Currency,Foreign Exchange,,,4.0145,3.2004,4.2509,,
BZDGBP=X,BZD/GBP,CCY,Currency,Foreign Exchange,GBP,GBP,0.3184,0.2916,0.3441,,
NOKSGD=X,NOK/SGD,CCY,Currency,Foreign Exchange,SGD,SGD,0.1676,0.1635,0.2035,,
CADPKR=X,CAD/PKR,CCY,Currency,Foreign Exchange,PKR,PKR,79.7453,78.9866,94.5312,,
NGNUSD=X,NGN/USD,CCY,Currency,Foreign Exchange,USD,USD,0.0050,0.0049,0.0062,,
ILSHKD=X,ILS/HKD,CCY,Currency,Foreign Exchange,HKD,HKD,2.0575,1.9073,2.2788,,
EURZMW=X,EUR/ZMW,CCY,Currency,Foreign Exchange,,,8.6987,7.0972,8.7903,,
VUVBRL=X,VUV/BRL,CCY,Currency,Foreign Exchange,BRL,BRL,0.0282,0.0229,0.0305,,
CADPYG=X,CAD/PYG,CCY,Currency,Foreign Exchange,PYG,PYG,4041.7783,3673.2356,4255.1880,,
CZKSEK=X,CZK/SEK,CCY,Currency,Foreign Exchange,SEK,SEK,0.3459,0.3260,0.3528,,
CZKLKR=X,CZK/LKR,CCY,Currency,Foreign Exchange,LKR,LKR,5.4401,5.0396,6.4678,,
TWDLVL=X,TWD/LVL,CCY,Currency,Foreign Exchange,LVL,LVL,0.0202,0.0163,0.0213,,
DKKLTL=X,DKK/LTL,CCY,Currency,Foreign Exchange,LTL,LTL,0.4631,0.4113,0.4723,,
NIOEUR=X,NIO/EUR,CCY,Currency,Foreign Exchange,EUR,EUR,0.0332,0.0282,0.0356,,
JODSGD=X,JOD/SGD,CCY,Currency,Foreign Exchange,SGD,SGD,1.9228,1.7450,1.9688,,
RUBKRW=X,RUB/KRW,CCY,Currency,Foreign Exchange,KRW,KRW,20.1888,13.7097,30.1235,,
ISKTND=X,ISK/TND,CCY,Currency,Foreign Exchange,TND,TND,0.0147,0.0139,0.0151,,
CZKMUR=X,CZK/MUR,CCY,Currency,Foreign Exchange,MUR,MUR,1.4390,1.3071,1.5266,,
HKDMOP=X,HKD/MOP,CCY,Currency,Foreign Exchange,MOP,MOP,1.0300,1.0289,1.0307,,
JPYVUV=X,JPY/VUV,CCY,Currency,Foreign Exchange,VUV,VUV,0.9006,0.8267,0.9643,,
BRLTRY=X,BRL/TRY,CCY,Currency,Foreign Exchange,TRY,TRY,0.8417,0.7810,0.9745,,
PHPMYR=X,PHP/MYR,CCY,Currency,Foreign Exchange,MYR,MYR,0.0839,0.0719,0.0849,,
MURPLN=X,MUR/PLN,CCY,Currency,Foreign Exchange,PLN,PLN,0.1060,0.0988,0.1162,,
CNYZAR=X,CNY/ZAR,CCY,Currency,Foreign Exchange,ZAR,ZAR,1.9898,1.6886,2.0420,,
RONSEK=X,RON/SEK,CCY,Currency,Foreign Exchange,SEK,SEK,2.1185,2.0391,2.1813,,
NOKAED=X,NOK/AED,CCY,Currency,Foreign Exchange,AED,AED,0.4519,0.4363,0.5991,,
EGPNOK=X,EGP/NOK,CCY,Currency,Foreign Exchange,NOK,NOK,1.0383,0.8572,1.1034,,
MRO=X,USD/MRO,CCY,Currency,Foreign Exchange,MRO,MRO,327.0000,286.5000,329.0500,,
NGNCHF=X,NGN/CHF,CCY,Currency,Foreign Exchange,CHF,CHF,0.0048,0.0039,0.0059,,
EURBIF=X,EUR/BIF,CCY,Currency,Foreign Exchange,BIF,BIF,1806.2391,1640.6923,2112.2705,,
CHFMVR=X,CHF/MVR,CCY,Currency,Foreign Exchange,MVR,MVR,16.1995,14.9803,21.3877,,
MADHUF=X,MAD/HUF,CCY,Currency,Foreign Exchange,HUF,HUF,28.8121,27.0963,30.0627,,
